# Raptor Photonics Eagle XO -- direct-detection back-illuminated CCD
# Quantum efficiency vs photon energy, digitized from the datasheet QE figure
# (E2V 42-40 sensor, 'data supplied by sensor manufacturer', doc USEA4240XO-CL).
# BN  = back-illuminated, no AR coating (the 'no coating' option; canonical curve).
# BEN = back-illuminated, enhanced (better soft-X-ray/EUV); == BN at/above 1 keV
#       where the two datasheet curves overlap.
# Valid 12 eV - 29 keV; outside this range the model falls back to a thin-Si
# absorption extrapolation (see eaglexo_response.qe).
# energy_eV,QE_BN_percent,QE_BEN_percent
12.0,15.76,23.43
13.0,17.81,23.79
14.0,19.77,24.13
15.0,21.64,24.44
16.0,23.68,24.74
17.0,30.34,25.01
18.0,40.05,30.07
19.0,47.50,38.03
20.0,52.48,44.09
22.0,60.48,51.84
23.0,63.13,54.17
25.0,66.33,58.05
26.0,67.44,58.83
28.0,69.33,60.92
30.0,71.02,62.67
32.0,72.51,64.42
34.0,73.83,66.04
37.0,75.43,67.80
39.0,76.44,68.71
42.0,77.85,70.05
44.0,78.70,71.10
47.0,79.92,72.48
51.0,81.45,73.76
54.0,82.51,75.19
58.0,83.80,76.84
62.0,84.96,77.84
66.0,86.01,79.05
70.0,87.03,80.32
75.0,88.30,81.75
80.0,89.52,82.24
86.0,90.52,82.25
91.0,90.49,82.25
97.0,85.05,71.77
104.0,70.58,53.64
111.0,63.23,45.20
119.0,61.02,43.15
127.0,60.90,42.36
135.0,61.31,43.02
144.0,61.81,43.82
154.0,62.04,44.35
165.0,62.37,44.87
176.0,63.37,45.81
188.0,64.41,48.61
200.0,65.60,51.45
214.0,67.58,54.81
228.0,69.47,57.71
244.0,71.38,60.48
260.0,73.25,62.88
278.0,75.14,65.96
297.0,76.81,68.15
317.0,78.44,70.59
338.0,79.98,73.14
361.0,81.49,75.72
385.0,82.92,77.56
412.0,84.37,80.04
439.0,85.73,81.91
469.0,87.14,83.82
501.0,88.51,85.10
535.0,89.76,86.77
571.0,90.94,88.22
610.0,92.12,89.65
651.0,93.07,91.24
695.0,93.72,91.57
742.0,94.22,92.57
792.0,94.75,93.22
846.0,95.21,93.94
903.0,95.39,94.06
964.0,95.52,94.46
1029.0,95.62,95.62
1099.0,95.62,95.62
1173.0,95.60,95.60
1252.0,94.87,94.87
1337.0,91.66,91.66
1400.0,88.07,88.07
1428.0,86.32,86.32
1459.0,84.38,84.38
1520.0,80.52,80.52
1524.0,80.27,80.27
1584.0,77.37,77.37
1627.0,76.44,76.44
1650.0,76.29,76.29
1719.0,76.29,76.29
1737.0,76.46,76.46
1791.0,78.21,78.21
1855.0,83.45,83.45
1867.0,84.47,84.47
1945.0,89.37,89.37
1980.0,89.94,89.94
2026.0,90.40,90.40
2111.0,90.79,90.79
2114.0,90.79,90.79
2200.0,90.90,90.90
2257.0,90.90,90.90
2410.0,90.87,90.87
2573.0,90.47,90.47
2747.0,89.64,89.64
2933.0,87.92,87.92
3132.0,85.44,85.44
3343.0,82.62,82.62
3570.0,78.82,78.82
3811.0,73.74,73.74
4069.0,68.49,68.49
4344.0,63.22,63.22
4638.0,57.88,57.88
4952.0,52.39,52.39
5287.0,46.99,46.99
5645.0,41.78,41.78
6027.0,36.73,36.73
6434.0,31.67,31.67
6870.0,26.75,26.75
7334.0,22.30,22.30
7831.0,18.78,18.78
8360.0,15.81,15.81
8926.0,13.32,13.32
9530.0,11.55,11.55
10174.0,10.07,10.07
10863.0,8.73,8.73
11598.0,7.42,7.42
12382.0,6.23,6.23
13220.0,5.25,5.25
14114.0,4.56,4.56
15069.0,3.88,3.88
16089.0,3.28,3.28
17177.0,2.80,2.80
18339.0,2.39,2.39
19580.0,2.07,2.07
20905.0,1.82,1.82
22319.0,1.69,1.69
23829.0,1.56,1.56
25441.0,1.46,1.46
27162.0,1.46,1.46
29000.0,1.12,1.12
