RELATIVISTIC
TRANSPORT CROSS SECTIONS
in units of a0**2
a0**2 = 2.8002852E-21 m**2

Atomic number: 6

No, Energy,Transport cross section
, eV,a0**2
1, 50,  10.529
2, 799.88,  2.028542E-1
3, 1549.75,  6.545057E-2
4, 2299.62,  3.273141E-2
5, 3049.5,  1.982825E-2
6, 3799.38,  1.338529E-2
7, 4549.25,  9.688189E-3
8, 5299.12,  7.361951E-3
9, 6049,  5.798862E-3
10, 6798.88,  4.695508E-3
11, 7548.75,  3.886220E-3
12, 8298.62,  3.274108E-3
13, 9048.5,  2.799339E-3
14, 9798.38,  2.423286E-3
15, 10548.25,  2.120081E-3
16, 11298.12,  1.871855E-3
17, 12048,  1.665932E-3
18, 12797.88,  1.493112E-3
19, 13547.75,  1.346581E-3
20, 14297.62,  1.221205E-3
21, 15047.5,  1.113050E-3
22, 15797.38,  1.019065E-3
23, 16547.25,  9.368474E-4
24, 17297.12,  8.644884E-4
25, 18047,  8.004531E-4
26, 18796.88,  7.434962E-4
27, 19546.75,  6.925983E-4
28, 20296.62,  6.469186E-4
29, 21046.5,  6.057582E-4
30, 21796.38,  5.685323E-4
31, 22546.25,  5.347485E-4
32, 23296.12,  5.039894E-4
33, 24046,  4.758997E-4
34, 24795.88,  4.501750E-4
35, 25545.75,  4.265534E-4
36, 26295.62,  4.048086E-4
37, 27045.5,  3.847442E-4
38, 27795.38,  3.661891E-4
39, 28545.25,  3.489934E-4
40, 29295.12,  3.330257E-4
41, 30045,  3.181700E-4
42, 30794.88,  3.043241E-4
43, 31544.75,  2.913970E-4
44, 32294.62,  2.793080E-4
45, 33044.5,  2.679853E-4
46, 33794.38,  2.573644E-4
47, 34544.25,  2.473876E-4
48, 35294.12,  2.380031E-4
49, 36044,  2.291642E-4
50, 36793.88,  2.208289E-4
51, 37543.75,  2.129589E-4
52, 38293.62,  2.055197E-4
53, 39043.5,  1.984801E-4
54, 39793.38,  1.918113E-4
55, 40543.25,  1.854875E-4
56, 41293.12,  1.794848E-4
57, 42043,  1.737816E-4
58, 42792.88,  1.683579E-4
59, 43542.75,  1.631954E-4
60, 44292.62,  1.582774E-4
61, 45042.5,  1.535885E-4
62, 45792.38,  1.491143E-4
63, 46542.25,  1.448418E-4
64, 47292.12,  1.407588E-4
65, 48042,  1.368541E-4
66, 48791.88,  1.331173E-4
67, 49541.75,  1.295387E-4
68, 50291.62,  1.261094E-4
69, 51041.5,  1.228211E-4
70, 51791.38,  1.196659E-4
71, 52541.25,  1.166367E-4
72, 53291.12,  1.137267E-4
73, 54041,  1.109297E-4
74, 54790.88,  1.082398E-4
75, 55540.75,  1.056515E-4
76, 56290.62,  1.031596E-4
77, 57040.5,  1.007594E-4
78, 57790.38,  9.844621E-5
79, 58540.25,  9.621594E-5
80, 59290.12,  9.406455E-5
81, 60040,  9.198831E-5
82, 60789.88,  8.998369E-5
