RELATIVISTIC
TRANSPORT CROSS SECTIONS
in units of a0**2
a0**2 = 2.8002852E-21 m**2

Atomic number: 32

No, Energy,Transport cross section
, eV,a0**2
1, 50,  4.687
2, 799.88,  1.680
3, 1549.75,  7.223984E-1
4, 2299.62,  4.170397E-1
5, 3049.5,  2.770651E-1
6, 3799.38,  1.998908E-1
7, 4549.25,  1.522648E-1
8, 5299.12,  1.205446E-1
9, 6049,  9.822057E-2
10, 6798.88,  8.183936E-2
11, 7548.75,  6.941883E-2
12, 8298.62,  5.974968E-2
13, 9048.5,  5.205728E-2
14, 9798.38,  4.582522E-2
15, 10548.25,  4.069766E-2
16, 11298.12,  3.642237E-2
17, 12048,  3.281622E-2
18, 12797.88,  2.974341E-2
19, 13547.75,  2.710143E-2
20, 14297.62,  2.481158E-2
21, 15047.5,  2.281260E-2
22, 15797.38,  2.105617E-2
23, 16547.25,  1.950376E-2
24, 17297.12,  1.812428E-2
25, 18047,  1.689242E-2
26, 18796.88,  1.578742E-2
27, 19546.75,  1.479207E-2
28, 20296.62,  1.389204E-2
29, 21046.5,  1.307528E-2
30, 21796.38,  1.233162E-2
31, 22546.25,  1.165241E-2
32, 23296.12,  1.103028E-2
33, 24046,  1.045886E-2
34, 24795.88,  9.932694E-3
35, 25545.75,  9.447017E-3
36, 26295.62,  8.997701E-3
37, 27045.5,  8.581135E-3
38, 27795.38,  8.194148E-3
39, 28545.25,  7.833951E-3
40, 29295.12,  7.498078E-3
41, 30045,  7.184344E-3
42, 30794.88,  6.890808E-3
43, 31544.75,  6.615737E-3
44, 32294.62,  6.357586E-3
45, 33044.5,  6.114968E-3
46, 33794.38,  5.886636E-3
47, 34544.25,  5.671469E-3
48, 35294.12,  5.468453E-3
49, 36044,  5.276674E-3
50, 36793.88,  5.095300E-3
51, 37543.75,  4.923578E-3
52, 38293.62,  4.760822E-3
53, 39043.5,  4.606405E-3
54, 39793.38,  4.459756E-3
55, 40543.25,  4.320353E-3
56, 41293.12,  4.187717E-3
57, 42043,  4.061407E-3
58, 42792.88,  3.941021E-3
59, 43542.75,  3.826185E-3
60, 44292.62,  3.716558E-3
61, 45042.5,  3.611822E-3
62, 45792.38,  3.511686E-3
63, 46542.25,  3.415877E-3
64, 47292.12,  3.324146E-3
65, 48042,  3.236260E-3
66, 48791.88,  3.152002E-3
67, 49541.75,  3.071171E-3
68, 50291.62,  2.993580E-3
69, 51041.5,  2.919056E-3
70, 51791.38,  2.847434E-3
71, 52541.25,  2.778563E-3
72, 53291.12,  2.712301E-3
73, 54041,  2.648516E-3
74, 54790.88,  2.587082E-3
75, 55540.75,  2.527884E-3
76, 56290.62,  2.470811E-3
77, 57040.5,  2.415761E-3
78, 57790.38,  2.362638E-3
79, 58540.25,  2.311351E-3
80, 59290.12,  2.261815E-3
81, 60040,  2.213948E-3
82, 60789.88,  2.167675E-3
83, 61539.75,  2.122925E-3
84, 62289.62,  2.079630E-3
85, 63039.5,  2.037727E-3
86, 63789.38,  1.997154E-3
87, 64539.25,  1.957856E-3
88, 65289.12,  1.919777E-3
89, 66039,  1.882868E-3
90, 66788.88,  1.847080E-3
91, 67538.75,  1.812366E-3
92, 68288.62,  1.778683E-3
93, 69038.5,  1.745990E-3
94, 69788.38,  1.714247E-3
95, 70538.25,  1.683418E-3
96, 71288.12,  1.653467E-3
97, 72038,  1.624359E-3
98, 72787.88,  1.596064E-3
99, 73537.75,  1.568549E-3
100, 74287.62,  1.541787E-3
101, 75037.5,  1.515749E-3
102, 75787.38,  1.490409E-3
103, 76537.25,  1.465741E-3
104, 77287.12,  1.441722E-3
105, 78037,  1.418328E-3
106, 78786.88,  1.395537E-3
107, 79536.75,  1.373329E-3
108, 80286.62,  1.351683E-3
109, 81036.5,  1.330579E-3
110, 81786.38,  1.310001E-3
111, 82536.25,  1.289928E-3
112, 83286.12,  1.270346E-3
113, 84036,  1.251238E-3
114, 84785.88,  1.232587E-3
115, 85535.75,  1.214380E-3
116, 86285.62,  1.196602E-3
117, 87035.5,  1.179239E-3
118, 87785.38,  1.162279E-3
119, 88535.25,  1.145708E-3
120, 89285.12,  1.129514E-3
121, 90035,  1.113686E-3
122, 90784.88,  1.098213E-3
123, 91534.75,  1.083083E-3
124, 92284.62,  1.068287E-3
125, 93034.5,  1.053815E-3
126, 93784.38,  1.039656E-3
127, 94534.25,  1.025801E-3
128, 95284.12,  1.012243E-3
129, 96034,  9.989716E-4
130, 96783.88,  9.859791E-4
131, 97533.75,  9.732576E-4
132, 98283.62,  9.607993E-4
133, 99033.5,  9.485968E-4
134, 99783.38,  9.366431E-4
135, 100533.25,  9.249312E-4
136, 101283.12,  9.134545E-4
137, 102033,  9.022066E-4
138, 102782.88,  8.911812E-4
139, 103532.75,  8.803724E-4
140, 104282.62,  8.697743E-4
141, 105032.5,  8.593815E-4
142, 105782.38,  8.491885E-4
143, 106532.25,  8.391901E-4
144, 107282.12,  8.293811E-4
145, 108032,  8.197568E-4
146, 108781.88,  8.103124E-4
147, 109531.75,  8.010434E-4
148, 110281.62,  7.919452E-4
149, 111031.5,  7.830136E-4
150, 111781.38,  7.742445E-4
151, 112531.25,  7.656338E-4
152, 113281.12,  7.571777E-4
153, 114031,  7.488723E-4
154, 114780.88,  7.407140E-4
155, 115530.75,  7.326992E-4
156, 116280.62,  7.248246E-4
157, 117030.5,  7.170867E-4
158, 117780.38,  7.094823E-4
159, 118530.25,  7.020084E-4
160, 119280.12,  6.946617E-4
161, 120030,  6.874395E-4
162, 120779.88,  6.803387E-4
163, 121529.75,  6.733567E-4
164, 122279.62,  6.664907E-4
165, 123029.5,  6.597381E-4
166, 123779.38,  6.530963E-4
167, 124529.25,  6.465629E-4
168, 125279.12,  6.401354E-4
169, 126029,  6.338115E-4
170, 126778.88,  6.275889E-4
171, 127528.75,  6.214654E-4
172, 128278.62,  6.154388E-4
173, 129028.5,  6.095071E-4
174, 129778.38,  6.036682E-4
175, 130528.25,  5.979202E-4
176, 131278.12,  5.922610E-4
177, 132028,  5.866888E-4
178, 132777.88,  5.812019E-4
179, 133527.75,  5.757983E-4
180, 134277.62,  5.704765E-4
181, 135027.5,  5.652346E-4
182, 135777.38,  5.600711E-4
183, 136527.25,  5.549843E-4
184, 137277.12,  5.499727E-4
185, 138027,  5.450348E-4
186, 138776.88,  5.401690E-4
187, 139526.75,  5.353740E-4
188, 140276.62,  5.306484E-4
189, 141026.5,  5.259907E-4
190, 141776.38,  5.213996E-4
191, 142526.25,  5.168739E-4
192, 143276.12,  5.124122E-4
193, 144026,  5.080133E-4
194, 144775.88,  5.036760E-4
195, 145525.75,  4.993992E-4
196, 146275.62,  4.951816E-4
197, 147025.5,  4.910221E-4
198, 147775.38,  4.869197E-4
199, 148525.25,  4.828733E-4
200, 149275.12,  4.788818E-4
