RELATIVISTIC
TRANSPORT CROSS SECTIONS
in units of a0**2
a0**2 = 2.8002852E-21 m**2

Atomic number: 42

No, Energy,Transport cross section
, eV,a0**2
1, 50,  18.439
2, 799.88,  2.190
3, 1549.75,  9.887112E-1
4, 2299.62,  5.859171E-1
5, 3049.5,  3.959887E-1
6, 3799.38,  2.892758E-1
7, 4549.25,  2.225097E-1
8, 5299.12,  1.775691E-1
9, 6049,  1.456714E-1
10, 6798.88,  1.220994E-1
11, 7548.75,  1.041188E-1
12, 8298.62,  9.004708E-2
13, 9048.5,  7.879934E-2
14, 9798.38,  6.964792E-2
15, 10548.25,  6.208878E-2
16, 11298.12,  5.576310E-2
17, 12048,  5.040925E-2
18, 12797.88,  4.583256E-2
19, 13547.75,  4.188557E-2
20, 14297.62,  3.845474E-2
21, 15047.5,  3.545142E-2
22, 15797.38,  3.280553E-2
23, 16547.25,  3.046102E-2
24, 17297.12,  2.837257E-2
25, 18047,  2.650322E-2
26, 18796.88,  2.482255E-2
27, 19546.75,  2.330533E-2
28, 20296.62,  2.193048E-2
29, 21046.5,  2.068027E-2
30, 21796.38,  1.953968E-2
31, 22546.25,  1.849593E-2
32, 23296.12,  1.753808E-2
33, 24046,  1.665672E-2
34, 24795.88,  1.584371E-2
35, 25545.75,  1.509197E-2
36, 26295.62,  1.439535E-2
37, 27045.5,  1.374845E-2
38, 27795.38,  1.314654E-2
39, 28545.25,  1.258543E-2
40, 29295.12,  1.206143E-2
41, 30045,  1.157125E-2
42, 30794.88,  1.111197E-2
43, 31544.75,  1.068098E-2
44, 32294.62,  1.027596E-2
45, 33044.5,  9.894801E-3
46, 33794.38,  9.535625E-3
47, 34544.25,  9.196732E-3
48, 35294.12,  8.876585E-3
49, 36044,  8.573793E-3
50, 36793.88,  8.287095E-3
51, 37543.75,  8.015341E-3
52, 38293.62,  7.757488E-3
53, 39043.5,  7.512579E-3
54, 39793.38,  7.279741E-3
55, 40543.25,  7.058176E-3
56, 41293.12,  6.847150E-3
57, 42043,  6.645989E-3
58, 42792.88,  6.454073E-3
59, 43542.75,  6.270830E-3
60, 44292.62,  6.095734E-3
61, 45042.5,  5.928296E-3
62, 45792.38,  5.768067E-3
63, 46542.25,  5.614627E-3
64, 47292.12,  5.467591E-3
65, 48042,  5.326598E-3
66, 48791.88,  5.191313E-3
67, 49541.75,  5.061426E-3
68, 50291.62,  4.936645E-3
69, 51041.5,  4.816701E-3
70, 51791.38,  4.701340E-3
71, 52541.25,  4.590327E-3
72, 53291.12,  4.483441E-3
73, 54041,  4.380474E-3
74, 54790.88,  4.281233E-3
75, 55540.75,  4.185535E-3
76, 56290.62,  4.093211E-3
77, 57040.5,  4.004099E-3
78, 57790.38,  3.918049E-3
79, 58540.25,  3.834918E-3
80, 59290.12,  3.754573E-3
81, 60040,  3.676888E-3
82, 60789.88,  3.601744E-3
83, 61539.75,  3.529028E-3
84, 62289.62,  3.458634E-3
85, 63039.5,  3.390463E-3
86, 63789.38,  3.324419E-3
87, 64539.25,  3.260413E-3
88, 65289.12,  3.198359E-3
89, 66039,  3.138177E-3
90, 66788.88,  3.079791E-3
91, 67538.75,  3.023128E-3
92, 68288.62,  2.968119E-3
93, 69038.5,  2.914699E-3
94, 69788.38,  2.862806E-3
95, 70538.25,  2.812381E-3
96, 71288.12,  2.763367E-3
97, 72038,  2.715711E-3
98, 72787.88,  2.669362E-3
99, 73537.75,  2.624272E-3
100, 74287.62,  2.580394E-3
101, 75037.5,  2.537684E-3
102, 75787.38,  2.496100E-3
103, 76537.25,  2.455602E-3
104, 77287.12,  2.416150E-3
105, 78037,  2.377710E-3
106, 78786.88,  2.340245E-3
107, 79536.75,  2.303721E-3
108, 80286.62,  2.268108E-3
109, 81036.5,  2.233373E-3
110, 81786.38,  2.199488E-3
111, 82536.25,  2.166424E-3
112, 83286.12,  2.134155E-3
113, 84036,  2.102654E-3
114, 84785.88,  2.071897E-3
115, 85535.75,  2.041860E-3
116, 86285.62,  2.012519E-3
117, 87035.5,  1.983854E-3
118, 87785.38,  1.955842E-3
119, 88535.25,  1.928464E-3
120, 89285.12,  1.901700E-3
121, 90035,  1.875531E-3
122, 90784.88,  1.849940E-3
123, 91534.75,  1.824909E-3
124, 92284.62,  1.800422E-3
125, 93034.5,  1.776461E-3
126, 93784.38,  1.753013E-3
127, 94534.25,  1.730062E-3
128, 95284.12,  1.707593E-3
129, 96034,  1.685594E-3
130, 96783.88,  1.664050E-3
131, 97533.75,  1.642949E-3
132, 98283.62,  1.622278E-3
133, 99033.5,  1.602026E-3
134, 99783.38,  1.582180E-3
135, 100533.25,  1.562731E-3
136, 101283.12,  1.543666E-3
137, 102033,  1.524976E-3
138, 102782.88,  1.506651E-3
139, 103532.75,  1.488681E-3
140, 104282.62,  1.471056E-3
141, 105032.5,  1.453768E-3
142, 105782.38,  1.436807E-3
143, 106532.25,  1.420166E-3
144, 107282.12,  1.403836E-3
145, 108032,  1.387810E-3
146, 108781.88,  1.372078E-3
