RELATIVISTIC
TRANSPORT CROSS SECTIONS
in units of a0**2
a0**2 = 2.8002852E-21 m**2

Atomic number: 14

No, Energy,Transport cross section
, eV,a0**2
1, 50,  13.302
2, 799.88,  6.630940E-1
3, 1549.75,  2.460340E-1
4, 2299.62,  1.320188E-1
5, 3049.5,  8.347300E-2
6, 3799.38,  5.799484E-2
7, 4549.25,  4.285320E-2
8, 5299.12,  3.307462E-2
9, 6049,  2.637063E-2
10, 6798.88,  2.156223E-2
11, 7548.75,  1.798923E-2
12, 8298.62,  1.525748E-2
13, 9048.5,  1.311933E-2
14, 9798.38,  1.141256E-2
15, 10548.25,  1.002716E-2
16, 11298.12,  8.886308E-3
17, 12048,  7.934988E-3
18, 12797.88,  7.132930E-3
19, 13547.75,  6.450091E-3
20, 14297.62,  5.863675E-3
21, 15047.5,  5.356121E-3
22, 15797.38,  4.913721E-3
23, 16547.25,  4.525641E-3
24, 17297.12,  4.183225E-3
25, 18047,  3.879487E-3
26, 18796.88,  3.608737E-3
27, 19546.75,  3.366303E-3
28, 20296.62,  3.148317E-3
29, 21046.5,  2.951554E-3
30, 21796.38,  2.773309E-3
31, 22546.25,  2.611297E-3
32, 23296.12,  2.463577E-3
33, 24046,  2.328493E-3
34, 24795.88,  2.204623E-3
35, 25545.75,  2.090743E-3
36, 26295.62,  1.985790E-3
37, 27045.5,  1.888842E-3
38, 27795.38,  1.799093E-3
39, 28545.25,  1.715837E-3
40, 29295.12,  1.638453E-3
41, 30045,  1.566394E-3
42, 30794.88,  1.499174E-3
43, 31544.75,  1.436364E-3
44, 32294.62,  1.377579E-3
45, 33044.5,  1.322479E-3
46, 33794.38,  1.270755E-3
47, 34544.25,  1.222135E-3
48, 35294.12,  1.176370E-3
49, 36044,  1.133237E-3
50, 36793.88,  1.092536E-3
51, 37543.75,  1.054085E-3
52, 38293.62,  1.017716E-3
53, 39043.5,  9.832815E-4
54, 39793.38,  9.506431E-4
55, 40543.25,  9.196763E-4
56, 41293.12,  8.902669E-4
57, 42043,  8.623106E-4
58, 42792.88,  8.357116E-4
59, 43542.75,  8.103819E-4
60, 44292.62,  7.862406E-4
61, 45042.5,  7.632134E-4
62, 45792.38,  7.412314E-4
63, 46542.25,  7.202313E-4
64, 47292.12,  7.001546E-4
65, 48042,  6.809467E-4
66, 48791.88,  6.625576E-4
67, 49541.75,  6.449404E-4
68, 50291.62,  6.280518E-4
69, 51041.5,  6.118515E-4
70, 51791.38,  5.963019E-4
71, 52541.25,  5.813679E-4
72, 53291.12,  5.670169E-4
73, 54041,  5.532184E-4
74, 54790.88,  5.399439E-4
75, 55540.75,  5.271667E-4
76, 56290.62,  5.148618E-4
77, 57040.5,  5.030057E-4
78, 57790.38,  4.915766E-4
79, 58540.25,  4.805536E-4
80, 59290.12,  4.699176E-4
81, 60040,  4.596502E-4
82, 60789.88,  4.497342E-4
83, 61539.75,  4.401535E-4
84, 62289.62,  4.308929E-4
85, 63039.5,  4.219379E-4
86, 63789.38,  4.132751E-4
87, 64539.25,  4.048915E-4
88, 65289.12,  3.967751E-4
89, 66039,  3.889145E-4
90, 66788.88,  3.812987E-4
91, 67538.75,  3.739175E-4
92, 68288.62,  3.667612E-4
93, 69038.5,  3.598205E-4
94, 69788.38,  3.530868E-4
95, 70538.25,  3.465516E-4
96, 71288.12,  3.402071E-4
97, 72038,  3.340458E-4
98, 72787.88,  3.280606E-4
99, 73537.75,  3.222446E-4
100, 74287.62,  3.165915E-4
101, 75037.5,  3.110950E-4
102, 75787.38,  3.057493E-4
103, 76537.25,  3.005489E-4
104, 77287.12,  2.954884E-4
105, 78037,  2.905627E-4
106, 78786.88,  2.857669E-4
107, 79536.75,  2.810965E-4
108, 80286.62,  2.765471E-4
109, 81036.5,  2.721143E-4
110, 81786.38,  2.677942E-4
111, 82536.25,  2.635828E-4
112, 83286.12,  2.594765E-4
113, 84036,  2.554718E-4
114, 84785.88,  2.515652E-4
115, 85535.75,  2.477535E-4
116, 86285.62,  2.440335E-4
117, 87035.5,  2.404023E-4
118, 87785.38,  2.368571E-4
119, 88535.25,  2.333950E-4
120, 89285.12,  2.300134E-4
121, 90035,  2.267098E-4
122, 90784.88,  2.234818E-4
123, 91534.75,  2.203270E-4
124, 92284.62,  2.172431E-4
125, 93034.5,  2.142281E-4
126, 93784.38,  2.112797E-4
127, 94534.25,  2.083961E-4
128, 95284.12,  2.055753E-4
129, 96034,  2.028155E-4
130, 96783.88,  2.001148E-4
131, 97533.75,  1.974715E-4
132, 98283.62,  1.948840E-4
133, 99033.5,  1.923508E-4
134, 99783.38,  1.898701E-4
135, 100533.25,  1.874407E-4
136, 101283.12,  1.850609E-4
137, 102033,  1.827295E-4
138, 102782.88,  1.804452E-4
139, 103532.75,  1.782066E-4
140, 104282.62,  1.760124E-4
141, 105032.5,  1.738616E-4
142, 105782.38,  1.717529E-4
143, 106532.25,  1.696851E-4
144, 107282.12,  1.676574E-4
145, 108032,  1.656685E-4
146, 108781.88,  1.637174E-4
147, 109531.75,  1.618033E-4
148, 110281.62,  1.599250E-4
149, 111031.5,  1.580819E-4
150, 111781.38,  1.562728E-4
151, 112531.25,  1.544970E-4
152, 113281.12,  1.527537E-4
153, 114031,  1.510420E-4
154, 114780.88,  1.493611E-4
155, 115530.75,  1.477104E-4
156, 116280.62,  1.460890E-4
157, 117030.5,  1.444963E-4
158, 117780.38,  1.429316E-4
159, 118530.25,  1.413941E-4
160, 119280.12,  1.398833E-4
161, 120030,  1.383985E-4
162, 120779.88,  1.369392E-4
163, 121529.75,  1.355046E-4
164, 122279.62,  1.340943E-4
165, 123029.5,  1.327077E-4
166, 123779.38,  1.313442E-4
167, 124529.25,  1.300034E-4
168, 125279.12,  1.286846E-4
169, 126029,  1.273875E-4
170, 126778.88,  1.261115E-4
171, 127528.75,  1.248561E-4
172, 128278.62,  1.236210E-4
173, 129028.5,  1.224056E-4
174, 129778.38,  1.212096E-4
175, 130528.25,  1.200324E-4
176, 131278.12,  1.188738E-4
177, 132028,  1.177332E-4
178, 132777.88,  1.166104E-4
179, 133527.75,  1.155050E-4
180, 134277.62,  1.144165E-4
181, 135027.5,  1.133446E-4
182, 135777.38,  1.122890E-4
183, 136527.25,  1.112494E-4
184, 137277.12,  1.102253E-4
185, 138027,  1.092166E-4
186, 138776.88,  1.082228E-4
187, 139526.75,  1.072437E-4
188, 140276.62,  1.062790E-4
189, 141026.5,  1.053284E-4
190, 141776.38,  1.043916E-4
191, 142526.25,  1.034683E-4
192, 143276.12,  1.025583E-4
193, 144026,  1.016613E-4
194, 144775.88,  1.007770E-4
195, 145525.75,  9.990530E-5
196, 146275.62,  9.904583E-5
197, 147025.5,  9.819838E-5
198, 147775.38,  9.736274E-5
199, 148525.25,  9.653867E-5
200, 149275.12,  9.572595E-5
201, 150025,  9.492438E-5
202, 150774.88,  9.413373E-5
203, 151524.75,  9.335382E-5
204, 152274.62,  9.258443E-5
205, 153024.5,  9.182538E-5
206, 153774.38,  9.107647E-5
207, 154524.25,  9.033752E-5
208, 155274.12,  8.960835E-5
209, 156024,  8.888879E-5
210, 156773.88,  8.817864E-5
211, 157523.75,  8.747776E-5
212, 158273.62,  8.678597E-5
213, 159023.5,  8.610311E-5
214, 159773.38,  8.542903E-5
215, 160523.25,  8.476357E-5
216, 161273.12,  8.410657E-5
217, 162023,  8.345790E-5
