RELATIVISTIC
TRANSPORT CROSS SECTIONS
in units of a0**2
a0**2 = 2.8002852E-21 m**2

Atomic number: 34

No, Energy,Transport cross section
, eV,a0**2
1, 50,  5.463
2, 799.88,  1.777
3, 1549.75,  7.740129E-1
4, 2299.62,  4.497340E-1
5, 3049.5,  2.999979E-1
6, 3799.38,  2.170618E-1
7, 4549.25,  1.657156E-1
8, 5299.12,  1.314351E-1
9, 6049,  1.072627E-1
10, 6798.88,  8.949689E-2
11, 7548.75,  7.600804E-2
12, 8298.62,  6.549451E-2
13, 9048.5,  5.712120E-2
14, 9798.38,  5.033072E-2
15, 10548.25,  4.473854E-2
16, 11298.12,  4.007182E-2
17, 12048,  3.613229E-2
18, 12797.88,  3.277284E-2
19, 13547.75,  2.988228E-2
20, 14297.62,  2.737525E-2
21, 15047.5,  2.518521E-2
22, 15797.38,  2.325970E-2
23, 16547.25,  2.155679E-2
24, 17297.12,  2.004269E-2
25, 18047,  1.868986E-2
26, 18796.88,  1.747568E-2
27, 19546.75,  1.638142E-2
28, 20296.62,  1.539145E-2
29, 21046.5,  1.449263E-2
30, 21796.38,  1.367388E-2
31, 22546.25,  1.292575E-2
32, 23296.12,  1.224018E-2
33, 24046,  1.161024E-2
34, 24795.88,  1.102993E-2
35, 25545.75,  1.049408E-2
36, 26295.62,  9.998148E-3
37, 27045.5,  9.538194E-3
38, 27795.38,  9.110747E-3
39, 28545.25,  8.712750E-3
40, 29295.12,  8.341504E-3
41, 30045,  7.994614E-3
42, 30794.88,  7.669952E-3
43, 31544.75,  7.365619E-3
44, 32294.62,  7.079919E-3
45, 33044.5,  6.811330E-3
46, 33794.38,  6.558485E-3
47, 34544.25,  6.320152E-3
48, 35294.12,  6.095217E-3
49, 36044,  5.882676E-3
50, 36793.88,  5.681615E-3
51, 37543.75,  5.491206E-3
52, 38293.62,  5.310694E-3
53, 39043.5,  5.139391E-3
54, 39793.38,  4.976668E-3
55, 40543.25,  4.821950E-3
56, 41293.12,  4.674709E-3
57, 42043,  4.534461E-3
58, 42792.88,  4.400763E-3
59, 43542.75,  4.273202E-3
60, 44292.62,  4.151403E-3
61, 45042.5,  4.035016E-3
62, 45792.38,  3.923718E-3
63, 46542.25,  3.817210E-3
64, 47292.12,  3.715217E-3
65, 48042,  3.617481E-3
66, 48791.88,  3.523764E-3
67, 49541.75,  3.433843E-3
68, 50291.62,  3.347512E-3
69, 51041.5,  3.264579E-3
70, 51791.38,  3.184864E-3
71, 52541.25,  3.108198E-3
72, 53291.12,  3.034426E-3
73, 54041,  2.963400E-3
74, 54790.88,  2.894982E-3
75, 55540.75,  2.829044E-3
76, 56290.62,  2.765465E-3
77, 57040.5,  2.704131E-3
78, 57790.38,  2.644936E-3
79, 58540.25,  2.587778E-3
80, 59290.12,  2.532564E-3
81, 60040,  2.479205E-3
82, 60789.88,  2.427616E-3
83, 61539.75,  2.377719E-3
84, 62289.62,  2.329438E-3
85, 63039.5,  2.282703E-3
86, 63789.38,  2.237447E-3
87, 64539.25,  2.193607E-3
88, 65289.12,  2.151124E-3
89, 66039,  2.109940E-3
90, 66788.88,  2.070003E-3
91, 67538.75,  2.031260E-3
92, 68288.62,  1.993664E-3
93, 69038.5,  1.957169E-3
94, 69788.38,  1.921732E-3
95, 70538.25,  1.887311E-3
96, 71288.12,  1.853866E-3
97, 72038,  1.821361E-3
98, 72787.88,  1.789759E-3
99, 73537.75,  1.759027E-3
100, 74287.62,  1.729133E-3
101, 75037.5,  1.700044E-3
102, 75787.38,  1.671733E-3
103, 76537.25,  1.644171E-3
104, 77287.12,  1.617330E-3
105, 78037,  1.591187E-3
106, 78786.88,  1.565715E-3
107, 79536.75,  1.540892E-3
108, 80286.62,  1.516695E-3
